Search Query,Bike Name,Price,Section Title,Section Data
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Tyres and Brakes,{'Radial Tyre': 'Yes'}
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Motor & Battery,"{'Peak Power': '13.6 PS @ 8000 rpm', 'Drive Type': 'Chain Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",Underpinnings,"{'Suspension Front': 'Telescopic 41 mm', 'Suspension Rear': 'Swing arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Disc', 'ABS': 'Single Channel', 'Tyre Size': 'Front :-100/80-17, Rear :-140/60-17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Gixxer SF,"Rs.4,596",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Engine and Transmission,"{'Engine Type': '4-Cycle, 1-cylinder, Air cooled', 'Displacement': '155 cc', 'Max Torque': '13.8 Nm @ 6000 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Gear Box': '5 Speed', 'Bore': '56 mm', 'Stroke': '62.9 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'Speedometer': 'Digital', 'Techometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Seat Type': 'Split', 'Body Graphics': 'Yes', 'Clock': 'Yes', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Features and Safety,"{'Pass Switch': 'Yes', 'Clock': 'Yes', 'Additional Features': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Mileage and Performance,{'Overall Mileage': '45 kmpl'}
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Chassis and Suspension,"{'Body Type': 'Sports Bikes', 'Body Graphics': 'Yes'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Dimensions and Capacity,"{'Width': '800 mm', 'Length': '2020 mm', 'Height': '1035 mm', 'Fuel Capacity': '12 L', 'Saddle Height': '795 mm', 'Ground Clearance': '160 mm', 'Wheelbase': '1335 mm', 'Kerb Weight': '141 kg'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'LED Tail Lights': 'Yes', 'Low Fuel Indicator': 'Yes'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Tyres and Brakes,{'Radial Tyre': 'Yes'}
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Motor & Battery,"{'Peak Power': '13.6 PS @ 8000 rpm', 'Drive Type': 'Chain Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",Underpinnings,"{'Suspension Front': 'Telescopic 41 mm', 'Suspension Rear': 'Swing arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Disc', 'ABS': 'Single Channel', 'Tyre Size': 'Front :-100/80-17, Rear :-140/60-17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Gixxer,"Rs.4,674",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Engine and Transmission,"{'Engine Type': '4-Cycle, 1-cylinder, Oil cooled', 'Displacement': '249 cc', 'Max Torque': '22.2 Nm @ 7300 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Oil Cooled', 'Valve Per Cylinder': '4', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Wet, multi-plate type', 'Gear Box': '6 Speed', 'Bore': '76 mm', 'Stroke': '54.9 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'Speedometer': 'Digital', 'Techometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Seat Type': 'Split', 'Body Graphics': 'Yes', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Features and Safety,"{'Pass Switch': 'Yes', 'Adjustable Windscreen': 'Yes', 'Additional Features': 'Twin Muffler, Side Stand Interlock, ETA Updates, Phone Battery Level Display, Miss Call Alert and Whatsup Alert, Turn-by-Turn Navigation', 'Stepup Seat': 'Yes', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Display': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Mileage and Performance,{'Overall Mileage': '38 kmpl'}
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Chassis and Suspension,"{'Body Type': 'Sports Bikes', 'Body Graphics': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Dimensions and Capacity,"{'Width': '740 mm', 'Length': '2010 mm', 'Height': '1035 mm', 'Fuel Capacity': '12 L', 'Saddle Height': '800 mm', 'Ground Clearance': '165 mm', 'Wheelbase': '1345 mm', 'Kerb Weight': '161 kg'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'LED Tail Lights': 'Yes'}"
